Input_dB;Output_dB_SW;Gain_Reduction_dB_SW;Output_dB_HW;Gain_Reduction_dB_HW;Metrik Analisis;Nilai
-59,3939;-54,3939;0,0;-54,4609;-0,067;Avg Error Output (dB);0,022731
-58,7879;-53,7879;0,0;-53,9179;-0,13;Max Error Output (dB);0,1547
-58,1818;-53,1818;0,0;-53,2836;-0,1017;MAE Output (dB);0,022731
-57,5758;-52,5758;0,0;-52,6925;-0,1167;RMSE Output (dB);0,042012
-56,9697;-51,9697;0,0;-52,0325;-0,0628;R2 Score Output;0,999992
-56,3636;-51,3636;0,0;-51,5183;-0,1547;Avg Error GR (dB);0,022731
-55,7576;-50,7576;0,0;-50,8462;-0,0886;Max Error GR (dB);0,1547
-55,1515;-50,1515;0,0;-50,2223;-0,0708;;
-54,5455;-49,5455;0,0;-49,6403;-0,0948;;
-53,9394;-48,9394;0,0;-49,0196;-0,0802;;
-53,3333;-48,3333;0,0;-48,4403;-0,107;;
-52,7273;-47,7273;0,0;-47,8317;-0,1044;;
-52,1212;-47,1212;0,0;-47,1415;-0,0203;;
-51,5152;-46,5152;0,0;-46,5021;0,0131;;
-50,9091;-45,9091;0,0;-45,9591;-0,05;;
-50,303;-45,303;0,0;-45,3003;0,0027;;
-49,697;-44,697;0,0;-44,7337;-0,0367;;
-49,0909;-44,0909;0,0;-44,0737;0,0173;;
-48,4848;-43,4848;0,0;-43,4999;-0,015;;
-47,8788;-42,8788;0,0;-42,8874;-0,0086;;
-47,2727;-42,2727;0,0;-42,3153;-0,0425;;
-46,6667;-41,6667;0,0;-41,6815;-0,0148;;
-46,0606;-41,0606;0,0;-41,0608;-0,0002;;
-45,4545;-40,4545;0,0;-40,5096;-0,055;;
-44,8485;-39,8485;0,0;-39,8598;-0,0114;;
-44,2424;-39,2424;0,0;-39,2554;-0,0129;;
-43,6364;-38,6364;0,0;-38,6675;-0,0311;;
-43,0303;-38,0303;0,0;-38,0319;-0,0016;;
-42,4242;-37,4242;0,0;-37,4594;-0,0352;;
-41,8182;-36,8182;0,0;-36,8483;-0,0301;;
-41,2121;-36,2121;0,0;-36,2429;-0,0308;;
-40,6061;-35,6061;0,0;-35,6287;-0,0227;;
-40,0;-35,0;0,0;-35,0252;-0,0252;;
-39,3939;-34,3939;0,0;-34,405;-0,0111;;
-38,7879;-33,7879;0,0;-33,8002;-0,0123;;
-38,1818;-33,1818;0,0;-33,1984;-0,0165;;
-37,5758;-32,5758;0,0;-32,5789;-0,0032;;
-36,9697;-31,9697;0,0;-31,9797;-0,01;;
-36,3636;-31,3636;0,0;-31,3601;0,0036;;
-35,7576;-30,7576;0,0;-30,7543;0,0033;;
-35,1515;-30,1515;0,0;-30,1623;-0,0108;;
-34,5455;-29,5455;0,0;-29,5602;-0,0147;;
-33,9394;-28,9394;0,0;-28,945;-0,0056;;
-33,3333;-28,3333;0,0;-28,3428;-0,0094;;
-32,7273;-27,7273;0,0;-27,7407;-0,0135;;
-32,1212;-27,1212;0,0;-27,1294;-0,0082;;
-31,5152;-26,5152;0,0;-26,5189;-0,0038;;
-30,9091;-25,9091;0,0;-25,9118;-0,0027;;
-30,303;-25,303;0,0;-25,3101;-0,0071;;
-29,697;-24,697;0,0;-24,7063;-0,0093;;
-29,0909;-24,0909;0,0;-24,0949;-0,004;;
-28,4848;-23,4848;0,0;-23,488;-0,0031;;
-27,8788;-22,8788;0,0;-22,8837;-0,0049;;
-27,2727;-22,2727;0,0;-22,2738;-0,0011;;
-26,6667;-21,6667;0,0;-21,6718;-0,0051;;
-26,0606;-21,0606;0,0;-21,0638;-0,0032;;
-25,4545;-20,4545;0,0;-20,4591;-0,0046;;
-24,8485;-19,8485;0,0;-19,8494;-0,0009;;
-24,2424;-19,2424;0,0;-19,2456;-0,0032;;
-23,6364;-18,6364;0,0;-18,6402;-0,0039;;
-23,0303;-18,0303;0,0;-18,0319;-0,0016;;
-22,4242;-17,4242;0,0;-17,4259;-0,0016;;
-21,8182;-16,8182;0,0;-16,8207;-0,0025;;
-21,2121;-16,2121;0,0;-16,2154;-0,0033;;
-20,6061;-15,6061;0,0;-15,6079;-0,0019;;
-20,0;-15,0;0,0;-15,0013;-0,0013;;
-19,3939;-14,8445;-0,4505;-14,8447;-0,4508;;
-18,7879;-14,6807;-0,8929;-14,6851;-0,8972;;
-18,1818;-14,5085;-1,3267;-14,6036;-1,4217;;
-17,5758;-14,3276;-1,7519;-14,3274;-1,7517;;
-16,9697;-14,1377;-2,168;-14,1378;-2,1681;;
-16,3636;-13,9386;-2,575;-13,9389;-2,5753;;
-15,7576;-13,73;-2,9725;-13,7304;-2,9728;;
-15,1515;-13,5118;-3,3603;-13,5116;-3,3601;;
-14,5455;-13,2838;-3,7384;-13,2836;-3,7381;;
-13,9394;-13,0458;-4,1064;-13,0458;-4,1065;;
-13,3333;-12,7976;-4,4642;-12,7982;-4,4649;;
-12,7273;-12,5391;-4,8118;-12,5485;-4,8212;;
-12,1212;-12,2702;-5,149;-12,3628;-5,2416;;
-11,5152;-11,9909;-5,4757;-11,9912;-5,4761;;
-10,9091;-11,701;-5,7919;-11,701;-5,7919;;
-10,303;-11,4006;-6,0975;-11,4003;-6,0973;;
-9,697;-11,0895;-6,3926;-11,0898;-6,3928;;
-9,0909;-10,768;-6,6771;-10,768;-6,6771;;
-8,4848;-10,4359;-6,9511;-10,4365;-6,9516;;
-7,8788;-10,0934;-7,2146;-10,0934;-7,2146;;
-7,2727;-9,7406;-7,4679;-9,7414;-7,4686;;
-6,6667;-9,3775;-7,7109;-9,3866;-7,72;;
-6,0606;-9,0044;-7,9438;-9,094;-8,0334;;
-5,4545;-8,6213;-8,1668;-8,6215;-8,167;;
-4,8485;-8,2285;-8,38;-8,2286;-8,3801;;
-4,2424;-7,8262;-8,5837;-7,8265;-8,5841;;
-3,6364;-7,4145;-8,7781;-7,4148;-8,7784;;
-3,0303;-6,9937;-8,9634;-6,9938;-8,9635;;
-2,4242;-6,5641;-9,1399;-6,564;-9,1397;;
-1,8182;-6,1259;-9,3077;-6,1259;-9,3078;;
-1,2121;-5,6793;-9,4672;-5,6804;-9,4682;;
-0,6061;-5,2247;-9,6187;-5,2337;-9,6277;;
0,0;-4,7623;-9,7623;-4,8496;-9,8496;;
